question,answer,keyword
Where does the sun rise?,6532,6532
What do bees make?,6948,6948
What do pandas mostly eat?,4690,4690
What is H2O also known as?,3072,3072
What shape is Earth?,2524,2524
What do birds lay?,9901,9901
What gas do plants absorb?,9064,9064
Which planet has rings?,3157,3157
Who invented the light bulb?,2801,2801
What color is the sky?,1220,1220
What liquid do mammals feed their babies?,4539,4539
How many wheels are on a bike?,0992,0992
What color are bananas?,6046,6046
What is the name of our galaxy?,2116,2116
What do humans breathe?,0763,0763
What color is snow?,0121,0121
What mineral is pencil lead made of?,7668,7668
What is ice made of?,4800,4800
What shape is a ball?,7522,7522
What color is grass?,1012,1012
